"677","다음이 설명하는 관계로 가장 적절한 것은? ","두 엔터티나 두 속성 간에 동시에 발생할 수 없는 관계를 의미합니다. 즉, 하나의 엔터티나 속성이 특정한 경우 다른 엔터티나 속성은 해당 경우가 될 수 없음을 나타냅니다.","2","1","상호일관적"
"677","다음이 설명하는 관계로 가장 적절한 것은? ","두 엔터티나 두 속성 간에 동시에 발생할 수 없는 관계를 의미합니다. 즉, 하나의 엔터티나 속성이 특정한 경우 다른 엔터티나 속성은 해당 경우가 될 수 없음을 나타냅니다.","2","2","상호배타적"
"677","다음이 설명하는 관계로 가장 적절한 것은? ","두 엔터티나 두 속성 간에 동시에 발생할 수 없는 관계를 의미합니다. 즉, 하나의 엔터티나 속성이 특정한 경우 다른 엔터티나 속성은 해당 경우가 될 수 없음을 나타냅니다.","2","3","상호포괄적"
"677","다음이 설명하는 관계로 가장 적절한 것은? ","두 엔터티나 두 속성 간에 동시에 발생할 수 없는 관계를 의미합니다. 즉, 하나의 엔터티나 속성이 특정한 경우 다른 엔터티나 속성은 해당 경우가 될 수 없음을 나타냅니다.","2","4","상호종속적"
"686","다음 함수 사용시 결과값이 올바르지 않은 것은? ","","4","1","SIGN(0) = 0"
"686","다음 함수 사용시 결과값이 올바르지 않은 것은? ","","4","2","MOD(8,3) = 2"
"686","다음 함수 사용시 결과값이 올바르지 않은 것은? ","","4","3","FLOOR(-12.345) = -13"
"686","다음 함수 사용시 결과값이 올바르지 않은 것은? ","","4","4","CEIL(-12.345) = -13"
"689","다음 중 정상적으로 실행되지 않는 문장은? (단, DBMS는 오라클)","","1","1","SELECT NVL(100, 'NULL') FROM DUAL;"
"689","다음 중 정상적으로 실행되지 않는 문장은? (단, DBMS는 오라클)","","1","2","SELECT TO_DATE('11', 'DD') + 10 FROM DUAL;"
"689","다음 중 정상적으로 실행되지 않는 문장은? (단, DBMS는 오라클)","","1","3","SELECT TO_DATE('20240101', 'YYYYMMDD') - 10 FROM DUAL;"
"689","다음 중 정상적으로 실행되지 않는 문장은? (단, DBMS는 오라클)","","1","4","SELECT 100 + '1' FROM DUAL;"
"724","다음 중 관계를 구성하는 요소가 아닌 것은?","","1","1","관계정의"
"724","다음 중 관계를 구성하는 요소가 아닌 것은?","","1","2","선택성(Optionality)"
"724","다음 중 관계를 구성하는 요소가 아닌 것은?","","1","3","차수(Cardinality)"
"724","다음 중 관계를 구성하는 요소가 아닌 것은?","","1","4","관계명"
"747","서브쿼리에 대한 설명으로 가장 적절한 것은?","","1","1","연관 서브쿼리는 메인쿼리가 먼저 수행된 후에 서브쿼리에서 조건이 맞는지 확인할 때 주로 사용한다."
"747","서브쿼리에 대한 설명으로 가장 적절한 것은?","","1","2","서브쿼리가 메인쿼리 컬럼을 가지고 있을 경우 비연관 서브쿼리라고 한다."
"747","서브쿼리에 대한 설명으로 가장 적절한 것은?","","1","3","단일행 서브쿼리는 비교 연산자 사용이 불가하다."
"747","서브쿼리에 대한 설명으로 가장 적절한 것은?","","1","4","FROM 절에 사용하는 서브쿼리를 스칼라 서브쿼리라고 한다."
"763","다음 SQL 실행 결과로 가장 적절한 것은?","SELECT REGEXP_REPLACE('031-234-4567', '\d+', 'XXX', 1, 2) FROM DUAL;","2","1","031-234-XXX"
"763","다음 SQL 실행 결과로 가장 적절한 것은?","SELECT REGEXP_REPLACE('031-234-4567', '\d+', 'XXX', 1, 2) FROM DUAL;","2","2","031-XXX-4567"
"763","다음 SQL 실행 결과로 가장 적절한 것은?","SELECT REGEXP_REPLACE('031-234-4567', '\d+', 'XXX', 1, 2) FROM DUAL;","2","3","XX1-234-4567"
"763","다음 SQL 실행 결과로 가장 적절한 것은?","SELECT REGEXP_REPLACE('031-234-4567', '\d+', 'XXX', 1, 2) FROM DUAL;","2","4","031-234-4567"
"766","다음 설명 중 가장 적절하지 않은 것은?","","1","1","SAVEPOINT 지점이 COMMIT 이전일때 해당 SAVEPOINT까지 ROLLBACK 시도 시 COMMIT이후 까지만 ROLLBACK 된다."
"766","다음 설명 중 가장 적절하지 않은 것은?","","1","2","ROLLBACK을 한 명령을 다시 ROLLBACK으로 취소할 수 없다."
"766","다음 설명 중 가장 적절하지 않은 것은?","","1","3","INSERT 한 이후 컬럼 추가 시 INSERT 값은 자동 저장되어 ROLLBACK 할 수 없다."
"766","다음 설명 중 가장 적절하지 않은 것은?","","1","4","COMMIT을 한 이후에는 ROLLBACK을 수행해도 이전 값으로 돌아갈 수 없다."
"767","테이블 생성 시 주의 사항으로 옳지 않은 것은?","","3","1","컬럼에 대한 제약조건을 추가하는 경우 CONSTRAINT를 사용한다."
"767","테이블 생성 시 주의 사항으로 옳지 않은 것은?","","3","2","날짜 유형은 별도로 크기를 지정하지 않아도 된다."
"767","테이블 생성 시 주의 사항으로 옳지 않은 것은?","","3","3","문자 데이터 유형은 별도로 크기를 지정하지 않아도 된다."
