"170","엔터티에 대한 개념 중 엔터티 정의의 공통점 3가지가 아닌 것은?","","4","1","업무상 관리가 필요한 관심사에 해당된다."
"170","엔터티에 대한 개념 중 엔터티 정의의 공통점 3가지가 아닌 것은?","","4","2","저장되기 위한 어떤 것이다."
"170","엔터티에 대한 개념 중 엔터티 정의의 공통점 3가지가 아닌 것은?","","4","3","엔터티는 사람, 장소, 물건, 사건, 개념 등의 명사에 해당된다."
"170","엔터티에 대한 개념 중 엔터티 정의의 공통점 3가지가 아닌 것은?","","4","4","데이터베이스 내에서 변멸 가능한 객체이다."
"173","데이터 유형에 대한 설명 중 틀린 것은 무엇인가?","","4","1","DATE 유형은 날짜 데이터를 다룰 때 사용한다."
"173","데이터 유형에 대한 설명 중 틀린 것은 무엇인가?","","4","2","NUMERIC 유형은 숫자형 데이터를 표현한다."
"173","데이터 유형에 대한 설명 중 틀린 것은 무엇인가?","","4","3","CHAR 유형은 고정 길이 문자형이다."
"173","데이터 유형에 대한 설명 중 틀린 것은 무엇인가?","","4","4","VARCHAR 유형은 가변 길이 숫자형이다."
"176","Commit과 Rollback의 장점으로 적합하지 않은 것은 무엇인가?","","3","1","논리적으로 연관된 작업을 그룹핑하여 처리 가능하다."
"176","Commit과 Rollback의 장점으로 적합하지 않은 것은 무엇인가?","","3","2","영구적인 변경을 하기 전에 데이터의 변경 사항 확인이 가능하다."
"176","Commit과 Rollback의 장점으로 적합하지 않은 것은 무엇인가?","","3","3","영구적인 변경을 할 수 없게 한다."
"176","Commit과 Rollback의 장점으로 적합하지 않은 것은 무엇인가?","","3","4","데이터 무결성을 보장한다."
"184","다음 설명 중 올바르지 않은 것은?","","4","1","EXCEPT 연산자는 조회 결과에 대한 차집합을 의미한다."
"184","다음 설명 중 올바르지 않은 것은?","","4","2","INTERSECT 연산자는 조회 결과에 대한 교집합을 의미한다."
"184","다음 설명 중 올바르지 않은 것은?","","4","3","UNION 연산자는 조회 결과에 대한 합집합을 나타내며 자동으로 정렬을 해준다."
"184","다음 설명 중 올바르지 않은 것은?","","4","4","UNION ALL 연산자는 조회 결과를 정렬하고 중복되는 데이터를 한 번만 표현한다."
"214","다음 SQL문에 대한 설명으로 올바른 것은?","SELECT *
FROM SQLD_33
WHERE EMP_NAME LIKE 'A%'","3","1","테이블의 EMP_NAME이 A 또는 a로 끝나는 모든 ROW"
"214","다음 SQL문에 대한 설명으로 올바른 것은?","SELECT *
FROM SQLD_33
WHERE EMP_NAME LIKE 'A%'","3","2","테이블의 EMP_NAME이 A로 끝나는 모든 ROW"
"214","다음 SQL문에 대한 설명으로 올바른 것은?","SELECT *
FROM SQLD_33
WHERE EMP_NAME LIKE 'A%'","3","3","테이블의 EMP_NAME이 A로 시작하는 모든 ROW"
"214","다음 SQL문에 대한 설명으로 올바른 것은?","SELECT *
FROM SQLD_33
WHERE EMP_NAME LIKE 'A%'","3","4","테이블의 EMP_NAME이 A 또는 a로 시작하는 모든 ROW"
"223","그룹 내 순위 관련 WINDOW 함수의 특징으로 올바르지 않은 것을 고르시오.","","2","1","RANK 함수가 동일한 값에 대해서는 동일한 순위를 부여하는 데 반해, ROW_NUMBER 함수는 고유한 순위를 부여한다."
"223","그룹 내 순위 관련 WINDOW 함수의 특징으로 올바르지 않은 것을 고르시오.","","2","2","RCUMM_RANK 함수는 누적된 순위를 부여한다."
"223","그룹 내 순위 관련 WINDOW 함수의 특징으로 올바르지 않은 것을 고르시오.","","2","3","DENSE_RANK 함수는 RANK 함수와 흡사하며, 동일한 순위를 하나의 건수로 취급한다."
"223","그룹 내 순위 관련 WINDOW 함수의 특징으로 올바르지 않은 것을 고르시오.","","2","4","RANK 함수는 동일한 값에 대해서는 동일한 순위를 부여한다."
"227","우선순위를 계산하는 윈도우 함수에서 동일한 우선순위가 나와도 고유의 값을 부여하기 위한 방법으로 올바른 것은 무엇인가?","","2","1","Select UNIQUE_RANK() OVER 
(PARTITION BY DEPTNO 
ORDER BY SAL DESC) 
DEPT_RANK;"
"227","우선순위를 계산하는 윈도우 함수에서 동일한 우선순위가 나와도 고유의 값을 부여하기 위한 방법으로 올바른 것은 무엇인가?","","2","2","Select ROW_NUMBER() OVER 
(PARTITION BY DEPTNO 
ORDER BY SAL DESC) 
DEPT_RANK;"
"227","우선순위를 계산하는 윈도우 함수에서 동일한 우선순위가 나와도 고유의 값을 부여하기 위한 방법으로 올바른 것은 무엇인가?","","2","3","Select DENSE_RANK() OVER 
(PARTITION BY DEPTNO 
ORDER BY SAL DESC) 
DEPT_RANK;"
"227","우선순위를 계산하는 윈도우 함수에서 동일한 우선순위가 나와도 고유의 값을 부여하기 위한 방법으로 올바른 것은 무엇인가?","","2","4","Select RANK() OVER 
(PARTITION BY DEPTNO 
ORDER BY SAL DESC) 
DEPT_RANK;"
"230","서브쿼리의 종류 중에서 서브쿼리가 메인쿼리의 제공자 역할을 하고 메인쿼리의 값이 서브쿼리에 주입되지 않는 유형은 무엇인가?","","1","1","Access Subquery"
"230","서브쿼리의 종류 중에서 서브쿼리가 메인쿼리의 제공자 역할을 하고 메인쿼리의 값이 서브쿼리에 주입되지 않는 유형은 무엇인가?","","1","2","Associative Subquery"
"230","서브쿼리의 종류 중에서 서브쿼리가 메인쿼리의 제공자 역할을 하고 메인쿼리의 값이 서브쿼리에 주입되지 않는 유형은 무엇인가?","","1","3","Early Filter형 Subquery"
"230","서브쿼리의 종류 중에서 서브쿼리가 메인쿼리의 제공자 역할을 하고 메인쿼리의 값이 서브쿼리에 주입되지 않는 유형은 무엇인가?","","1","4","Filter형 Subquery"
"274","다음 중 Mytest 테이블에 JOB 칼럼을 추가하는 방법으로 올바른 것을 고르시오.(단, 데이터타입, 제약조건 등은 따로 고려하지 않음)","","2","1","ALTER table Mytest add constraint JOB"
"274","다음 중 Mytest 테이블에 JOB 칼럼을 추가하는 방법으로 올바른 것을 고르시오.(단, 데이터타입, 제약조건 등은 따로 고려하지 않음)","","2","2","ALTER table Mytest add JOB"
"274","다음 중 Mytest 테이블에 JOB 칼럼을 추가하는 방법으로 올바른 것을 고르시오.(단, 데이터타입, 제약조건 등은 따로 고려하지 않음)","","2","3","ATLER table Mytest modify add JOB"
"274","다음 중 Mytest 테이블에 JOB 칼럼을 추가하는 방법으로 올바른 것을 고르시오.(단, 데이터타입, 제약조건 등은 따로 고려하지 않음)","","2","4","ALTER table Mytest alter add column JOB"
"302","EMP 테이블의 급여합계에 대해서 결합 가능한 모든 조건의 합계를 계산하는 것은?","","1","1","CUBE(DEPTNO, JOB)"
"302","EMP 테이블의 급여합계에 대해서 결합 가능한 모든 조건의 합계를 계산하는 것은?","","1","2","ROLLUP(DEPTNO, JOB)"
"302","EMP 테이블의 급여합계에 대해서 결합 가능한 모든 조건의 합계를 계산하는 것은?","","1","3","GROUPING SETS(DEPTNO, JOB)"
"302","EMP 테이블의 급여합계에 대해서 결합 가능한 모든 조건의 합계를 계산하는 것은?","","1","4","GROUP BY DEPTNO, JOB"
"315","아래 ER 모델링의 표기법은 무엇인가?","","3","1","IDEFIX 표기법"
"315","아래 ER 모델링의 표기법은 무엇인가?","","3","2","UML 표기법"
"315","아래 ER 모델링의 표기법은 무엇인가?","","3","3","IE 표기법"
"315","아래 ER 모델링의 표기법은 무엇인가?","","3","4","Barker 표기법"
"324","다음 SQL문의 실행 결과로 올바른 것은?","","3","1","SELECT TRUNC(35.8) FROM DUAL -> 36"
"324","다음 SQL문의 실행 결과로 올바른 것은?","","3","2","SELECT ROUND(36.8,0) FROM DUAL -> 36"
"324","다음 SQL문의 실행 결과로 올바른 것은?","","3","3","SELECT CEIL(35.8) FROM DUAL -> 36"
